Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
3604,668.27,502.54,2408445.08,1811154.16,597290.92
8435,255.28,159.42,2153286.8,1344707.7,808579.1
4848,421.89,364.69,2045322.72,1768017.12,277305.6
7225,421.89,364.69,3048155.25,2634885.25,413270
1975,205.7,117.11,406257.5,231292.25,174965.25
2542,421.89,364.69,1072444.38,927041.98,145402.4
4398,668.27,502.54,2939051.46,2210170.92,728880.54
49,668.27,502.54,32745.23,24624.46,8120.77
4031,437.2,263.33,1762353.2,1061483.23,700869.97
7911,437.2,263.33,3458689.2,2083203.63,1375485.57
5288,9.33,6.92,49337.04,36592.96,12744.08
6792,437.2,263.33,2969462.4,1788537.36,1180925.04
5084,154.06,90.93,783241.04,462288.12,320952.92
9855,154.06,90.93,1518261.3,896115.15,622146.15
2831,651.21,524.96,1843575.51,1486161.76,357413.75
2766,437.2,263.33,1209295.2,728370.78,480924.42
445,81.73,56.67,36369.85,25218.15,11151.7
3687,255.28,159.42,941217.36,587781.54,353435.82
2339,651.21,524.96,1523180.19,1227881.44,295298.75
3283,47.45,31.79,155778.35,104366.57,51411.78
5428,9.33,6.92,50643.24,37561.76,13081.48
4718,81.73,56.67,385602.14,267369.06,118233.08
9125,651.21,524.96,5942291.25,4790260,1152031.25
3656,81.73,56.67,298804.88,207185.52,91619.36
5345,81.73,56.67,436846.85,302901.15,133945.7
8261,437.2,263.33,3611709.2,2175369.13,1436340.07
8502,81.73,56.67,694868.46,481808.34,213060.12
9197,651.21,524.96,5989178.37,4828057.12,1161121.25
5509,152.58,97.44,840563.22,536796.96,303766.26
9629,205.7,117.11,1980685.3,1127652.19,853033.11
5781,154.06,90.93,890620.86,525666.33,364954.53
5220,668.27,502.54,3488369.4,2623258.8,865110.6
1232,205.7,117.11,253422.4,144279.52,109142.88
4134,421.89,364.69,1744093.26,1507628.46,236464.8
6276,668.27,502.54,4194062.52,3153941.04,1040121.48
7036,421.89,364.69,2968418.04,2565958.84,402459.2
7826,81.73,56.67,639618.98,443499.42,196119.56
7089,81.73,56.67,579383.97,401733.63,177650.34
5298,47.45,31.79,251390.1,168423.42,82966.68
9958,437.2,263.33,4353637.6,2622240.14,1731397.46
605,81.73,56.67,49446.65,34285.35,15161.3
3806,668.27,502.54,2543435.62,1912667.24,630768.38
8161,154.06,90.93,1257283.66,742079.73,515203.93
9298,47.45,31.79,441190.1,295583.42,145606.68
4880,651.21,524.96,3177904.8,2561804.8,616100
9598,152.58,97.44,1464462.84,935229.12,529233.72
176,255.28,159.42,44929.28,28057.92,16871.36
370,47.45,31.79,17556.5,11762.3,5794.2
5964,205.7,117.11,1226794.8,698444.04,528350.76
9777,651.21,524.96,6366880.17,5132533.92,1234346.25
6657,9.33,6.92,62109.81,46066.44,16043.37
8484,154.06,90.93,1307045.04,771450.12,535594.92
9170,47.45,31.79,435116.5,291514.3,143602.2
9656,81.73,56.67,789184.88,547205.52,241979.36
2916,154.06,90.93,449238.96,265151.88,184087.08
8955,421.89,364.69,3778024.95,3265798.95,512226
9810,437.2,263.33,4288932,2583267.3,1705664.7
4547,421.89,364.69,1918333.83,1658245.43,260088.4
4265,154.06,90.93,657065.9,387816.45,269249.45
7094,81.73,56.67,579792.62,402016.98,177775.64
3196,255.28,159.42,815874.88,509506.32,306368.56
9762,421.89,364.69,4118490.18,3560103.78,558386.4
6017,421.89,364.69,2538512.13,2194339.73,344172.4
8215,152.58,97.44,1253444.7,800469.6,452975.1
4641,668.27,502.54,3101441.07,2332288.14,769152.93
615,109.28,35.84,67207.2,22041.6,45165.6
3484,437.2,263.33,1523204.8,917441.72,605763.08
7628,651.21,524.96,4967429.88,4004394.88,963035
9459,651.21,524.96,6159795.39,4965596.64,1194198.75
2418,421.89,364.69,1020130.02,881820.42,138309.6
1979,421.89,364.69,834920.31,721721.51,113198.8
648,421.89,364.69,273384.72,236319.12,37065.6
2960,154.06,90.93,456017.6,269152.8,186864.8
482,152.58,97.44,73543.56,46966.08,26577.48
6814,668.27,502.54,4553591.78,3424307.56,1129284.22
2586,421.89,364.69,1091007.54,943088.34,147919.2
457,109.28,35.84,49940.96,16378.88,33562.08
122,437.2,263.33,53338.4,32126.26,21212.14
3303,47.45,31.79,156727.35,105002.37,51724.98
8755,651.21,524.96,5701343.55,4596024.8,1105318.75
7264,47.45,31.79,344676.8,230922.56,113754.24
6649,81.73,56.67,543422.77,376798.83,166623.94
6756,651.21,524.96,4399574.76,3546629.76,852945
4467,81.73,56.67,365087.91,253144.89,111943.02
8693,47.45,31.79,412482.85,276350.47,136132.38
5375,154.06,90.93,828072.5,488748.75,339323.75
2488,421.89,364.69,1049662.32,907348.72,142313.6
5036,9.33,6.92,46985.88,34849.12,12136.76
55,205.7,117.11,11313.5,6441.05,4872.45
1613,668.27,502.54,1077919.51,810597.02,267322.49
5809,154.06,90.93,894934.54,528212.37,366722.17
5772,81.73,56.67,471745.56,327099.24,144646.32
6664,81.73,56.67,544648.72,377648.88,166999.84
677,109.28,35.84,73982.56,24263.68,49718.88
2034,205.7,117.11,418393.8,238201.74,180192.06
1990,109.28,35.84,217467.2,71321.6,146145.6
3832,668.27,502.54,2560810.64,1925733.28,635077.36
7877,152.58,97.44,1201872.66,767534.88,434337.78
6474,255.28,159.42,1652682.72,1032085.08,620597.64
9002,255.28,159.42,2298030.56,1435098.84,862931.72
6872,421.89,364.69,2899228.08,2506149.68,393078.4
8527,437.2,263.33,3728004.4,2245414.91,1482589.49
4441,154.06,90.93,684180.46,403820.13,280360.33
2119,668.27,502.54,1416064.13,1064882.26,351181.87
1096,154.06,90.93,168849.76,99659.28,69190.48
7940,152.58,97.44,1211485.2,773673.6,437811.6
1249,9.33,6.92,11653.17,8643.08,3010.09
6655,152.58,97.44,1015419.9,648463.2,366956.7
1816,651.21,524.96,1182597.36,953327.36,229270
1427,9.33,6.92,13313.91,9874.84,3439.07
2210,205.7,117.11,454597,258813.1,195783.9
7921,109.28,35.84,865606.88,283888.64,581718.24
4346,255.28,159.42,1109446.88,692839.32,416607.56
4301,421.89,364.69,1814548.89,1568531.69,246017.2
2636,47.45,31.79,125078.2,83798.44,41279.76
1231,668.27,502.54,822640.37,618626.74,204013.63
3997,437.2,263.33,1747488.4,1052530.01,694958.39
1875,47.45,31.79,88968.75,59606.25,29362.5
7841,255.28,159.42,2001650.48,1250012.22,751638.26
1897,109.28,35.84,207304.16,67988.48,139315.68
6082,9.33,6.92,56745.06,42087.44,14657.62
9462,81.73,56.67,773329.26,536211.54,237117.72
3135,81.73,56.67,256223.55,177660.45,78563.1
5232,154.06,90.93,806041.92,475745.76,330296.16
5914,651.21,524.96,3851255.94,3104613.44,746642.5
2372,109.28,35.84,259212.16,85012.48,174199.68
3832,152.58,97.44,584686.56,373390.08,211296.48
6547,421.89,364.69,2762113.83,2387625.43,374488.4
8804,47.45,31.79,417749.8,279879.16,137870.64
5921,668.27,502.54,3956826.67,2975539.34,981287.33
5245,205.7,117.11,1078896.5,614241.95,464654.55
1156,421.89,364.69,487704.84,421581.64,66123.2
67,47.45,31.79,3179.15,2129.93,1049.22
5418,81.73,56.67,442813.14,307038.06,135775.08
2685,421.89,364.69,1132774.65,979192.65,153582
4371,81.73,56.67,357241.83,247704.57,109537.26
5013,668.27,502.54,3350037.51,2519233.02,830804.49
6179,668.27,502.54,4129240.33,3105194.66,1024045.67
1466,437.2,263.33,640935.2,386041.78,254893.42
1505,255.28,159.42,384196.4,239927.1,144269.3
8956,651.21,524.96,5832236.76,4701541.76,1130695
3513,437.2,263.33,1535883.6,925078.29,610805.31
6899,421.89,364.69,2910619.11,2515996.31,394622.8
7869,152.58,97.44,1200652.02,766755.36,433896.66
7208,154.06,90.93,1110464.48,655423.44,455041.04
2735,154.06,90.93,421354.1,248693.55,172660.55
4298,668.27,502.54,2872224.46,2159916.92,712307.54
8777,421.89,364.69,3702928.53,3200884.13,502044.4
5082,109.28,35.84,555360.96,182138.88,373222.08
9157,9.33,6.92,85434.81,63366.44,22068.37
8975,109.28,35.84,980788,321664,659124
9540,205.7,117.11,1962378,1117229.4,845148.6
7890,668.27,502.54,5272650.3,3965040.6,1307609.7
8091,9.33,6.92,75489.03,55989.72,19499.31
6242,437.2,263.33,2729002.4,1643705.86,1085296.54
5472,152.58,97.44,834917.76,533191.68,301726.08
944,421.89,364.69,398264.16,344267.36,53996.8
4849,81.73,56.67,396308.77,274792.83,121515.94
1412,255.28,159.42,360455.36,225101.04,135354.32
1886,255.28,159.42,481458.08,300666.12,180791.96
9558,651.21,524.96,6224265.18,5017567.68,1206697.5
4745,154.06,90.93,731014.7,431462.85,299551.85
9797,421.89,364.69,4133256.33,3572867.93,560388.4
4092,109.28,35.84,447173.76,146657.28,300516.48
9043,81.73,56.67,739084.39,512466.81,226617.58
3091,152.58,97.44,471624.78,301187.04,170437.74
6710,47.45,31.79,318389.5,213310.9,105078.6
7405,154.06,90.93,1140814.3,673336.65,467477.65
4712,154.06,90.93,725930.72,428462.16,297468.56
5198,154.06,90.93,800803.88,472654.14,328149.74
7463,651.21,524.96,4859980.23,3917776.48,942203.75
7136,47.45,31.79,338603.2,226853.44,111749.76
1878,668.27,502.54,1255011.06,943770.12,311240.94
6381,47.45,31.79,302778.45,202851.99,99926.46
7369,9.33,6.92,68752.77,50993.48,17759.29
8598,152.58,97.44,1311882.84,837789.12,474093.72
5852,205.7,117.11,1203756.4,685327.72,518428.68
1950,152.58,97.44,297531,190008,107523
1741,668.27,502.54,1163458.07,874922.14,288535.93
7103,437.2,263.33,3105431.6,1870432.99,1234998.61
1949,81.73,56.67,159291.77,110449.83,48841.94
7220,651.21,524.96,4701736.2,3790211.2,911525
5890,152.58,97.44,898696.2,573921.6,324774.6
7965,9.33,6.92,74313.45,55117.8,19195.65
5479,421.89,364.69,2311535.31,1998136.51,313398.8
7501,109.28,35.84,819709.28,268835.84,550873.44
5130,255.28,159.42,1309586.4,817824.6,491761.8
6494,437.2,263.33,2839176.8,1710065.02,1129111.78
1756,47.45,31.79,83322.2,55823.24,27498.96
8108,437.2,263.33,3544817.6,2135079.64,1409737.96
4772,651.21,524.96,3107574.12,2505109.12,602465
8005,154.06,90.93,1233250.3,727894.65,505355.65
6092,9.33,6.92,56838.36,42156.64,14681.72
4351,152.58,97.44,663875.58,423961.44,239914.14
130,437.2,263.33,56836,34232.9,22603.1
7809,109.28,35.84,853367.52,279874.56,573492.96
3800,81.73,56.67,310574,215346,95228
1544,47.45,31.79,73262.8,49083.76,24179.04
6516,668.27,502.54,4354447.32,3274550.64,1079896.68
1220,152.58,97.44,186147.6,118876.8,67270.8
192,437.2,263.33,83942.4,50559.36,33383.04
5000,109.28,35.84,546400,179200,367200
9242,47.45,31.79,438532.9,293803.18,144729.72
3548,668.27,502.54,2371021.96,1783011.92,588010.04
580,9.33,6.92,5411.4,4013.6,1397.8
30,651.21,524.96,19536.3,15748.8,3787.5
3621,154.06,90.93,557851.26,329257.53,228593.73
108,421.89,364.69,45564.12,39386.52,6177.6
278,205.7,117.11,57184.6,32556.58,24628.02
1947,9.33,6.92,18165.51,13473.24,4692.27
4965,255.28,159.42,1267465.2,791520.3,475944.9
6211,81.73,56.67,507625.03,351977.37,155647.66
4597,109.28,35.84,502360.16,164756.48,337603.68
6064,651.21,524.96,3948937.44,3183357.44,765580
8587,9.33,6.92,80116.71,59422.04,20694.67
7170,437.2,263.33,3134724,1888076.1,1246647.9
8850,421.89,364.69,3733726.5,3227506.5,506220
7693,205.7,117.11,1582450.1,900927.23,681522.87
9799,437.2,263.33,4284122.8,2580370.67,1703752.13
8298,154.06,90.93,1278389.88,754537.14,523852.74
8349,668.27,502.54,5579386.23,4195706.46,1383679.77
2147,81.73,56.67,175474.31,121670.49,53803.82
3914,205.7,117.11,805109.8,458368.54,346741.26
4906,651.21,524.96,3194836.26,2575453.76,619382.5
8408,651.21,524.96,5475373.68,4413863.68,1061510
4738,205.7,117.11,974606.6,554867.18,419739.42
6245,437.2,263.33,2730314,1644495.85,1085818.15
2308,81.73,56.67,188632.84,130794.36,57838.48
4338,47.45,31.79,205838.1,137905.02,67933.08
779,109.28,35.84,85129.12,27919.36,57209.76
